Service Name , Category , Route Name , Cost Basis , Unit , Base Cost , Notes , Vehicle Type , Passenger Capacity
Hiace Luxor to Hurghada transfer, transport ,Luxor - Hurghada Transfer, per_group ,transfer ,114 €,3-4 hours, Hiace , 3-7 pax
Hiace Luxor to Hurghada Roundtrip, transport ,Luxor - Hurghada Over Day Tour, per_group ,tour,138 €,9-10 hours, Hiace , 3-7 pax
Hiace Luxor to Hurghada Overnight, transport ,Luxor - Hurghada Day Tour (Overnight), per_group ,tour,171 €,48 hours, Hiace , 3-7 pax
Coaster Luxor Airport Pickup , transport ,Luxor Airport-Hotel , per_group ,transfer ,26 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Luxor Airport Dropoff , transport ,Hotel-Luxor Airport , per_group ,transfer ,26 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Luxor Airport Roundtrip , transport ,Luxor Airport-Hotel-Airport , per_group ,transfer ,121 €, Round-trip airport service , Coaster , 8-14 pax
Coaster Luxor Airport Pickup to West Bank, transport ,Luxor Airport-West Bank Hotel , per_group ,transfer ,19 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Luxor Airport Dropoff From West Bank, transport ,West Bank Hotel -Luxor Airport , per_group ,transfer ,19 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Luxor Airport Roundtrip West Bank, transport ,Luxor Airport-West Bank Hotel-Airport , per_group ,transfer ,38 €, Round-trip airport service , Coaster , 8-14 pax
Coaster Station Pickup , transport ,Luxor Station-Hotel , per_group ,transfer ,11 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Station Dropoff , transport ,Hotel-Luxor Station , per_group ,transfer ,11 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Station Pickup to West Bank, transport ,Luxor Station West Bank Hotel , per_group ,transfer ,11 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Station Dropoff From West Bank, transport ,Luxor Station- West Bank Hotel , per_group ,transfer ,11 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Luxor (Karnak & Luxor Temples), transport ,Luxor City Day Tour, per_group ,tour,26 €, 4-hour city tour , Coaster , 8-14 pax
Coaster Luxor (West Bank 3 Stops), transport ,Luxor City Day Tour, per_group ,tour,30 €, 12-hour city tour , Coaster , 8-14 pax
Coaster Luxor (East and West Bank), transport ,Luxor City Day Tour, per_group ,tour,101 €, 8-hour city tour , Coaster , 8-14 pax
Coaster Luxor (Full Day West Bank), transport ,Luxor City Day Tour, per_group ,tour,78 €, 8-hour city tour , Coaster , 8-14 pax
Coaster Luxor (Luxor Museum), transport ,Luxor City Day Tour, per_group ,tour,18 €, 8-hour city tour , Coaster , 8-14 pax
Coaster Luxor Outside Dinner, transport ,Luxor Dinner Transfer, per_group ,transfer ,39 €,2 hours, Coaster , 8-14 pax
Coaster Luxor City Transfer, transport ,Luxor Dinner Transfer, per_group ,transfer ,18 €,2 hours, Coaster , 8-14 pax
Coaster Luxor Sound & light Show Return Transfer, transport ,Luxor S&L Transfer, per_group ,transfer ,19 €,3 hours, Coaster , 8-14 pax
Coaster Luxor to Dendera Transfer, transport ,Luxor - Dendera  Day Tour, per_group ,transfer ,57 €,3 hours, Coaster , 8-14 pax
Coaster Luxor to Dendera & Abydos Transfer, transport ,Luxor - Dendera & Abydos Day Tour, per_group ,transfer ,136 €,3 hours, Coaster , 8-14 pax
Coaster Luxor to Aswan transfer, transport ,Luxor - Aswan City Transfer, per_group ,transfer ,136 €,3-4 hours, Coaster , 8-14 pax
Coaster Luxor to Aswan Roundtrip, transport ,Luxor - Aswan Over Day Tour, per_group ,tour,154 €,9-10 hours, Coaster , 8-14 pax
Coaster Luxor to Aswan Overnight, transport ,Luxor - Aswan Day Tour (Overnight), per_group ,tour,222 €,48 hours, Coaster , 8-14 pax
Coaster Luxor to Marsa Alam transfer, transport ,Luxor - Marsa Alam Day Tour (Overnight), per_group ,tour,217 €,48 hours, Coaster , 8-14 pax
Coaster Luxor to Hurghada transfer, transport ,Luxor - Hurghada Transfer, per_group ,transfer ,165 €,3-4 hours, Coaster , 8-14 pax
Coaster Luxor to Hurghada Roundtrip, transport ,Luxor - Hurghada Over Day Tour, per_group ,tour,214 €,9-10 hours, Coaster , 8-14 pax
Coaster Luxor to Hurghada Overnight, transport ,Luxor - Hurghada Day Tour (Overnight), per_group ,tour,280 €,48 hours, Coaster , 8-14 pax
Coach Luxor Airport Pickup , transport ,Luxor Airport-Hotel , per_group ,transfer ,41 €, One-way airport pickup ,Coach, 15-38 pax
Coach Luxor Airport Dropoff , transport ,Hotel-Luxor Airport , per_group ,transfer ,41 €, One-way airport dropoff ,Coach, 15-38 pax
Coach Luxor Airport Roundtrip , transport ,Luxor Airport-Hotel-Airport , per_group ,transfer ,291 €, Round-trip airport service ,Coach, 15-38 pax
Coach Luxor Airport Pickup to West Bank, transport ,Luxor Airport-West Bank Hotel , per_group ,transfer ,59 €, One-way airport pickup ,Coach, 15-38 pax
Coach Luxor Airport Dropoff From West Bank, transport ,West Bank Hotel -Luxor Airport , per_group ,transfer ,59 €, One-way airport dropoff ,Coach, 15-38 pax
Coach Luxor Airport Roundtrip West Bank, transport ,Luxor Airport-West Bank Hotel-Airport , per_group ,transfer ,284 €, Round-trip airport service ,Coach, 15-38 pax
Coach Station Pickup , transport ,Luxor Station-Hotel , per_group ,transfer ,31 €, One-way airport pickup ,Coach, 15-38 pax
Coach Station Dropoff , transport ,Hotel-Luxor Station , per_group ,transfer ,31 €, One-way airport dropoff ,Coach, 15-38 pax
Coach Station Pickup to West Bank, transport ,Luxor Station West Bank Hotel , per_group ,transfer ,31 €, One-way airport pickup ,Coach, 15-38 pax
Coach Station Dropoff From West Bank, transport ,Luxor Station- West Bank Hotel , per_group ,transfer ,31 €, One-way airport dropoff ,Coach, 15-38 pax
Coach Luxor (Karnak & Luxor Temples), transport ,Luxor City Day Tour, per_group ,tour,64 €, 4-hour city tour ,Coach, 15-38 pax
Coach Luxor (West Bank 3 Stops), transport ,Luxor City Day Tour, per_group ,tour,75 €, 12-hour city tour ,Coach, 15-38 pax
Coach Luxor (East and West Bank), transport ,Luxor City Day Tour, per_group ,tour,256 €, 8-hour city tour ,Coach, 15-38 pax
Coach Luxor (Full Day West Bank), transport ,Luxor City Day Tour, per_group ,tour,190 €, 8-hour city tour ,Coach, 15-38 pax
Coach Luxor (Luxor Museum), transport ,Luxor City Day Tour, per_group ,tour,40 €, 8-hour city tour ,Coach, 15-38 pax
Coach Luxor Outside Dinner, transport ,Luxor Dinner Transfer, per_group ,transfer ,42 €,2 hours,Coach, 15-38 pax
Coach Luxor City Transfer, transport ,Luxor Dinner Transfer, per_group ,transfer ,40 €,2 hours,Coach, 15-38 pax
Coach Luxor Sound & light Show Return Transfer, transport ,Luxor S&L Transfer, per_group ,transfer ,49 €,3 hours,Coach, 15-38 pax
Coach Luxor to Dendera Transfer, transport ,Luxor - Dendera  Day Tour, per_group ,transfer ,144 €,3 hours,Coach, 15-38 pax
Coach Luxor to Dendera & Abydos Transfer, transport ,Luxor - Dendera & Abydos Day Tour, per_group ,transfer ,282 €,3 hours,Coach, 15-38 pax
Coach Luxor to Aswan transfer, transport ,Luxor - Aswan City Transfer, per_group ,transfer ,272 €,3-4 hours,Coach, 15-38 pax
Coach Luxor to Aswan Roundtrip, transport ,Luxor - Aswan Over Day Tour, per_group ,tour,325 €,9-10 hours,Coach, 15-38 pax
Coach Luxor to Aswan Overnight, transport ,Luxor - Aswan Day Tour (Overnight), per_group ,tour,405 €,48 hours,Coach, 15-38 pax
Coach Luxor to Marsa Alam transfer, transport ,Luxor - Marsa Alam Transfer, per_group ,transfer ,402 €,3-4 hours,Coach, 15-38 pax
Coach Luxor to Hurghada transfer, transport ,Luxor - Hurghada Transfer, per_group ,transfer ,327 €,3-4 hours,Coach, 15-38 pax
Coach Luxor to Hurghada Roundtrip, transport ,Luxor - Hurghada Over Day Tour, per_group ,tour,477 €,9-10 hours,Coach, 15-38 pax
Coach Luxor to Hurghada Overnight, transport ,Luxor - Hurghada Day Tour (Overnight), per_group ,tour,550 €,48 hours,Coach, 15-38 pax
Sedan Hurghada Airport Pickup , transport ,Hurghada Airport Pickup, per_group ,transfer ,19 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Hurghada Airport Dropoff , transport ,Hurghada Airport Dropoff, per_group ,transfer ,19 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Hurghada (Hurghada Museum), transport ,Hurghada Museum, per_group ,tour,21 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Hurghada Outside Dinner, transport ,Outside Dinner, per_group ,transfer ,21 €,2 hours, Sedan , 1-2 pax
Sedan Hurghada City Transfer, transport ,City Transfer, per_group ,transfer ,21 €,2 hours, Sedan , 1-2 pax
Sedan Hurghada to Dendera & Abydos Transfer, transport ,Hurghada to Dendera & Abydos Transfer, per_group ,tour,125 €,3 hours, Sedan , 1-2 pax
Sedan Hurghada to Cairo transfer, transport ,Hurghada to Cairo Transfer, per_group ,transfer ,120 €,3-4 hours, Sedan , 1-2 pax
Sedan Hurghada to Cairo Roundtrip, transport ,Hurghada to Cairo Roundtrip, per_group ,tour,143 €,9-10 hours, Sedan , 1-2 pax
Sedan Hurghada to Cairo Overnight, transport ,Hurghada to Cairo Overnight, per_group ,tour,202 €,48 hours, Sedan , 1-2 pax
Sedan Hurghada to Luxor Transfer, transport ,Hurghada to Luxor Transfer, per_group ,transfer ,120 €,3-4 hours, Sedan , 1-2 pax
Sedan Hurghada to Luxor Roundtrip, transport ,Hurghada to Luxor Roundtrip, per_group ,tour,143 €,9-10 hours, Sedan , 1-2 pax
Sedan Hurghada to Luxor Overnight, transport ,Hurghada to Luxor Overnight, per_group ,tour,173 €,48 hours, Sedan , 1-2 pax
Hiace Hurghada Airport Pickup, transport ,Hurghada Airport Pickup, per_group ,transfer ,21 €, One-way airport pickup ,Hiace, 3-7 pax
Hiace Hurghada Airport Dropoff, transport ,Hurghada Airport Dropoff, per_group ,transfer ,21 €, One-way airport dropoff ,Hiace, 3-7 pax
Hiace Hurghada (Hurghada Museum), transport ,Hurghada Museum, per_group ,tour,26 €, 8-hour city tour ,Hiace, 3-7 pax
Hiace Hurghada Outside Dinner, transport ,Outside Dinner, per_group ,transfer ,26 €,2 hours,Hiace, 3-7 pax
Hiace Hurghada City Transfer, transport ,City Transfer, per_group ,transfer ,26 €,2 hours,Hiace, 3-7 pax
Hiace Hurghada to Dendera & Abydos Transfer, transport ,Hurghada to Dendera & Abydos Transfer, per_group ,tour,145 €,3 hours,Hiace, 3-7 pax
Hiace Hurghada to Cairo transfer, transport ,Hurghada to Cairo Transfer, per_group ,transfer ,151 €,3-4 hours,Hiace, 3-7 pax
Hiace Hurghada to Cairo Roundtrip, transport ,Hurghada to Cairo  Roundtrip, per_group ,tour,177 €,9-10 hours,Hiace, 3-7 pax
Hiace Hurghada to Cairo Overnight, transport ,Hurghada to Cairo Overnight, per_group ,tour,265 €,48 hours,Hiace, 3-7 pax
Hiace Hurghada to Luxor Transfer, transport ,Hurghada to Luxor Transfer, per_group ,transfer ,145 €,3-4 hours,Hiace, 3-7 pax
Hiace Hurghada to Luxor Roundtrip, transport ,Hurghada to Luxor Roundtrip, per_group ,tour,155 €,9-10 hours,Hiace, 3-7 pax
Hiace Hurghada to Luxor Overnight, transport ,Hurghada to Luxor Overnight, per_group ,tour,237 €,48 hours,Hiace, 3-7 pax
Coaster Hurghada Airport Pickup, transport ,Hurghada Airport Pickup, per_group ,transfer ,35 €, One-way airport pickup ,Coaster, 8-14 pax
Coaster Hurghada Airport Dropoff, transport ,Hurghada Airport Dropoff, per_group ,transfer ,35 €, One-way airport dropoff ,Coaster, 8-14 pax
Coaster Hurghada (Hurghada Museum), transport ,Hurghada Museum, per_group ,tour,40 €, 8-hour city tour ,Coaster, 8-14 pax
Coaster Hurghada Outside Dinner, transport ,Outside Dinner, per_group ,transfer ,40 €,2 hours,Coaster, 8-14 pax
Coaster Hurghada City Transfer, transport ,City Transfer, per_group ,transfer ,40 €,2 hours,Coaster, 8-14 pax
Coaster Hurghada to Dendera & Abydos Transfer, transport ,Hurghada to Dendera & Abydos Transfer, per_group ,tour,188 €,3 hours,Coaster, 8-14 pax
Coaster Hurghada to Cairo transfer, transport ,Hurghada to Cairo Transfer, per_group ,transfer ,190 €,3-4 hours,Coaster, 8-14 pax
Coaster Hurghada to Cairo Roundtrip, transport ,Hurghada to Cairo Roundtrip, per_group ,tour,230 €,9-10 hours,Coaster, 8-14 pax
Coaster Hurghada to Cairo Overnight, transport ,Hurghada to Cairo Overnight, per_group ,tour,334 €,48 hours,Coaster, 8-14 pax
Coaster Hurghada to Luxor Transfer, transport ,Hurghada to Luxor Transfer, per_group ,transfer ,188 €,3-4 hours,Coaster, 8-14 pax
Coaster Hurghada to Luxor Roundtrip, transport ,Hurghada to Luxor Roundtrip, per_group ,tour,201 €,9-10 hours,Coaster, 8-14 pax
Coaster Hurghada to Luxor Overnight, transport ,Hurghada to Luxor Overnight, per_group ,tour,308 €,48 hours,Coaster, 8-14 pax
Coach Hurghada Airport Pickup, transport ,Hurghada Airport Pickup, per_group ,transfer ,42 €, One-way airport pickup ,Coach, 15-38 pax
Coach Hurghada Airport Dropoff, transport ,Hurghada Airport Dropoff, per_group ,transfer ,42 €, One-way airport dropoff ,Coach, 15-38 pax
Coach Hurghada (Hurghada Museum), transport ,Hurghada Museum, per_group ,tour,51 €, 8-hour city tour ,Coach, 15-38 pax
Coach Hurghada Outside Dinner, transport ,Outside Dinner, per_group ,transfer ,51 €,2 hours,Coach, 15-38 pax
Coach Hurghada City Transfer, transport ,City Transfer, per_group ,transfer ,51 €,2 hours,Coach, 15-38 pax
Coach Hurghada to Dendera & Abydos Transfer, transport ,Hurghada to Dendera & Abydos Transfer, per_group ,tour,230 €,3 hours,Coach, 15-38 pax
Coach Hurghada to Cairo transfer, transport ,Hurghada to Cairo Transfer, per_group ,transfer ,245 €,3-4 hours,Coach, 15-38 pax
Coach Hurghada to Cairo Roundtrip, transport ,Hurghada to Cairo Roundtrip, per_group ,tour,290 €,9-10 hours,Coach, 15-38 pax
Coach Hurghada to Cairo Overnight, transport ,Hurghada to Cairo Overnight, per_group ,tour,407 €,48 hours,Coach, 15-38 pax
Coach Hurghada to Luxor Transfer, transport ,Hurghada to Luxor Transfer, per_group ,transfer ,230 €,3-4 hours,Coach, 15-38 pax
Coach Hurghada to Luxor Roundtrip, transport ,Hurghada to Luxor Roundtrip, per_group ,tour,250 €,9-10 hours,Coach, 15-38 pax
Coach Hurghada to Luxor Overnight, transport ,Hurghada to Luxor Overnight, per_group ,tour,375 €,48 hours,Coach, 15-38 pax
Sedan Sharm El-Sheikh Airport Pickup , transport ,Sharm El-Sheikh Airport-Hotel , per_group ,transfer ,0 €, One-way airport pickup , Sedan , 1-2 pax
Sedan Sharm El-Sheikh Airport Dropoff , transport ,Hotel-Sharm El-Sheikh Airport , per_group ,transfer ,0 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Sharm El-Sheikh Airport Roundtrip , transport ,Sharm El-Sheikh Airport-Hotel-Airport , per_group ,transfer ,0 €, Round-trip airport service , Sedan , 1-2 pax
Sedan Sharm El-Sheikh Outside Dinner, transport ,Sharm El-Sheikh Dinner Transfer, per_group ,transfer ,0 €,2 hours, Sedan , 1-2 pax
Sedan Sharm El-Sheikh City Transfer, transport ,Sharm El-Sheikh Dinner Transfer, per_group ,transfer ,0 €,2 hours, Sedan , 1-2 pax
